S.No,Country,ISO3,Region,Currency,PIOs,NRIs,Total Diaspora,NRI %,PIO %,Baseline Remittance (USD),Baseline Remittance (INR Crores),DEPI Score,Narrative
27,British Virgin Islands,VGB,Latin America & Caribbean,USD,20,230,250,92.0,8.0,460900,3.99,60.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
28,Brunei Darussalam,BRN,Asia-Pacific,USD,251,14500,14751,98.3,1.7,69611295,602.14,78.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
29,Bulgaria,BGR,Europe,USD,128,949,1077,88.1,11.9,4940560,42.74,66.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
30,Burkina Faso,BFA,Africa,USD,1,1000,1001,99.9,0.1,3200045,27.68,68.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
31,Burundi,BDI,Africa,USD,100,1100,1200,91.7,8.3,3524500,30.49,66.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
32,Cambodia,KHM,Asia-Pacific,USD,93,5000,5093,98.2,1.8,24004185,207.64,74.7,Predominantly active NRI professional and employment community with high direct financial linkage to India.
33,Cameroon,CMR,Africa,USD,0,2000,2000,100.0,0.0,6400000,55.36,71.0,Predominantly active NRI professional and employment community with high direct financial linkage to India.
34,Canada,CAN,North America,CAD,1859680,1388300,3247980,42.7,57.3,4900000000,42385.0,80.0,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
35,Cape Verde,CPV,Africa,USD,1,69,70,98.6,1.4,220845,1.91,59.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
36,Cayman Islands,CYM,Latin America & Caribbean,USD,100,2400,2500,96.0,4.0,4804500,41.56,69.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
37,Central African Republic,CAF,Africa,USD,0,150,150,100.0,0.0,480000,4.15,62.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
38,Chad,TCD,Africa,USD,0,250,250,100.0,0.0,800000,6.92,63.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
39,Chile,CHL,Latin America & Caribbean,USD,1500,2500,4000,62.5,37.5,5067500,43.83,61.7,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
40,China,CHN,Asia-Pacific,USD,12700,43431,56131,77.4,22.6,209040300,1808.2,77.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
41,Colombia,COL,Latin America & Caribbean,USD,314,991,1305,75.9,24.1,1996130,17.27,61.7,Predominantly active NRI professional and employment community with high direct financial linkage to India.
42,Commonwealth of Dominica,DMA,Latin America & Caribbean,USD,500,100,600,16.7,83.3,222500,1.92,40.7,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
43,Comoros,COM,Africa,USD,200,50,250,20.0,80.0,169000,1.46,40.0,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
44,Congo (Democratic Republic),COD,Africa,USD,3000,22000,25000,88.0,12.0,70535000,610.13,76.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
45,Republic of Congo,COG,Africa,USD,0,875,875,100.0,0.0,2800000,24.22,68.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
46,Cook Islands,COK,Asia-Pacific,USD,5,0,5,0.0,100.0,225,0.0,19.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
47,Costa Rica,CRI,Latin America & Caribbean,USD,53,1011,1064,95.0,5.0,2024385,17.51,66.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
48,Cote D Ivory,CIV,Africa,USD,37,6576,6613,99.4,0.6,21044865,182.04,74.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
49,Croatia,HRV,Europe,EUR,86,12176,12262,99.3,0.7,63319070,547.71,78.2,"Emerging European workforce destination in logistics, construction, and hospitality sectors with fast-growing NRI registrations."
50,Cuba,CUB,Latin America & Caribbean,USD,0,0,0,0.0,0.0,0,0.0,19.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
51,Curacao,CUW,Latin America & Caribbean,USD,800,700,1500,46.7,53.3,1436000,12.42,53.7,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
52,Cyprus,CYP,Europe,EUR,426,14237,14663,97.1,2.9,74051570,640.55,78.2,"Rapidly expanding higher education and medical student hub, accompanied by emerging trade and technical services."
53,Czech Republic,CZE,Europe,USD,662,11545,12207,94.6,5.4,60063790,519.55,76.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
54,Denmark,DNK,Europe,USD,3499,18958,22457,84.4,15.6,98739055,854.09,76.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
55,Djibouti,DJI,Africa,USD,0,800,800,100.0,0.0,2560000,22.14,67.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
56,Dominica Republic,DOM,Latin America & Caribbean,USD,2,104,106,98.1,1.9,208090,1.8,59.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
57,Ecuador,ECU,Latin America & Caribbean,USD,50,350,400,87.5,12.5,702250,6.07,60.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
58,Egypt,EGY,Africa,USD,283,5407,5690,95.0,5.0,17315135,149.78,73.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
59,El Salvador,SLV,Latin America & Caribbean,USD,25,15,40,37.5,62.5,31125,0.27,38.5,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
60,Equatorial Guinea,GNQ,Africa,USD,0,400,400,100.0,0.0,1280000,11.07,65.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
61,Eritrea,ERI,Africa,USD,0,140,140,100.0,0.0,448000,3.88,61.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
62,Estonia,EST,Europe,EUR,54,2010,2064,97.4,2.6,10454430,90.43,71.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
63,Eswatini,SWZ,Africa,USD,200,2300,2500,92.0,8.0,7369000,63.74,69.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
64,Ethiopia,ETH,Africa,USD,7,2493,2500,99.7,0.3,7977915,69.01,71.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
65,Fiji,FJI,Asia-Pacific,FJD,316081,2283,318364,0.7,99.3,50000000,432.5,56.0,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
66,Finland,FIN,Europe,EUR,18330,15115,33445,45.2,54.8,79422850,687.01,66.1,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
67,France,FRA,Europe,EUR,90000,19000,109000,17.4,82.6,900000000,7785.0,66.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
68,France (Reunion Island),REU,Africa,EUR,300000,200,300200,0.1,99.9,14140000,122.31,52.6,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
69,France (Guadeloupe),GLP,Latin America & Caribbean,EUR,57000,180,57180,0.3,99.7,2925000,25.3,47.2,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
70,France (Martinique),MTQ,Latin America & Caribbean,EUR,8000,90,8090,1.1,98.9,540000,4.67,41.4,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
71,France (St. Martin),MAF,Latin America & Caribbean,EUR,1800,150,1950,7.7,92.3,381000,3.3,40.9,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
72,Gabon,GAB,Africa,USD,1,800,801,99.9,0.1,2560045,22.14,67.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
74,Georgia,GEO,Europe,USD,4,600,604,99.3,0.7,3120180,26.99,67.9,"Rapidly expanding higher education and medical student hub, accompanied by emerging trade and technical services."
75,Germany,DEU,Europe,EUR,64013,300000,364013,82.4,17.6,2850000000,24652.5,86.5,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
76,Ghana,GHA,Africa,USD,332,308,640,48.1,51.9,1000540,8.65,52.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
77,Greece,GRC,Europe,EUR,158,11333,11491,98.6,1.4,58938710,509.82,77.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
78,Grenada,GRD,Latin America & Caribbean,USD,12000,800,12800,6.2,93.8,2140000,18.51,46.5,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
79,Guatemala,GTM,Latin America & Caribbean,USD,350,60,410,14.6,85.4,135750,1.17,38.6,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
80,Guinea (Republic of),GIN,Rest of World,USD,0,2500,2500,100.0,0.0,7000000,60.55,71.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
82,Guyana,GUY,Latin America & Caribbean,GYD,322000,2000,324000,0.6,99.4,25000000,216.25,54.2,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
83,Haiti,HTI,Latin America & Caribbean,USD,1,114,115,99.1,0.9,228045,1.97,59.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
84,Holy See,VAT,Europe,EUR,30,15,45,33.3,66.7,79350,0.69,39.9,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
85,Honduras,HND,Latin America & Caribbean,USD,25,20,45,44.4,55.6,41125,0.36,41.0,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
86,Hungary,HUN,Europe,USD,1000,8700,9700,89.7,10.3,45285000,391.72,74.7,Predominantly active NRI professional and employment community with high direct financial linkage to India.
87,Iceland,ISL,Europe,USD,237,509,746,68.2,31.8,2657465,22.99,59.9,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
88,Indonesia,IDN,Asia-Pacific,USD,5289,1962,7251,27.1,72.9,9655605,83.52,55.0,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
89,Iran,IRN,GCC & Middle East,USD,488,9000,9488,94.9,5.1,25221960,218.17,74.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
90,Iraq,IRQ,GCC & Middle East,USD,4,8000,8004,100.0,0.0,22400180,193.76,75.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
91,Ireland,IRL,Europe,EUR,38000,45000,83000,54.2,45.8,920000000,7958.0,75.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
92,Israel,ISR,GCC & Middle East,USD,100000,42000,142000,29.6,70.4,122100000,1056.16,64.7,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
93,Italy,ITA,Europe,EUR,79620,171429,251049,68.3,31.7,1350000000,11677.5,80.8,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
94,Jamaica,JAM,Latin America & Caribbean,USD,70000,5000,75000,6.7,93.3,13150000,113.75,52.8,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
95,Japan,JPN,Asia-Pacific,JPY,1761,65126,66887,97.4,2.6,520000000,4498.0,84.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
96,Jordan,JOR,GCC & Middle East,USD,153,18787,18940,99.2,0.8,52610485,455.08,78.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
97,Kazakhstan,KAZ,Central Asia,USD,0,7956,7956,100.0,0.0,17503200,151.4,74.7,"Rapidly expanding higher education and medical student hub, accompanied by emerging trade and technical services."
98,Kenya,KEN,Africa,USD,60000,20000,80000,25.0,75.0,66700000,576.96,61.5,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
99,Kiribati,KIR,Asia-Pacific,USD,50,2,52,3.8,96.2,11850,0.1,27.9,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
100,Korea (DPR),PRK,Asia-Pacific,USD,1,15,16,93.8,6.2,72045,0.62,53.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
101,Korea (ROK),KOR,Asia-Pacific,USD,479,17995,18474,97.4,2.6,86397555,747.34,78.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
102,Kuwait,KWT,GCC & Middle East,KWD,2356,1036389,1038745,99.8,0.2,5200000000,44980.0,93.4,Major Gulf labor and trade corridor; 99% NRI workforce with exceptionally high remittance frequency for family maintenance and NRE bank deposits.
103,Kyrgyzstan,KGZ,Central Asia,USD,70,200,270,74.1,25.9,443150,3.83,56.0,"Rapidly expanding higher education and medical student hub, accompanied by emerging trade and technical services."
104,Laos,LAO,Asia-Pacific,USD,122,600,722,83.1,16.9,2885490,24.96,63.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
105,Latvia,LVA,Europe,EUR,0,6123,6123,100.0,0.0,31839600,275.41,76.0,Predominantly active NRI professional and employment community with high direct financial linkage to India.
106,Lebanon,LBN,GCC & Middle East,USD,40,2000,2040,98.0,2.0,5601800,48.46,70.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
107,Lesotho (Kingdom of),LSO,Africa,USD,1500,1500,3000,50.0,50.0,4867500,42.1,58.2,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
108,Liberia,LBR,Africa,USD,2,3700,3702,99.9,0.1,11840090,102.42,73.0,Predominantly active NRI professional and employment community with high direct financial linkage to India.
109,Libya,LBY,Africa,USD,0,3000,3000,100.0,0.0,9600000,83.04,72.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
110,Liechtenstein,LIE,Europe,USD,52,36,88,40.9,59.1,189540,1.64,44.6,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
111,Lithuania,LTU,Europe,EUR,34,7835,7862,99.7,0.4,40743530,352.43,76.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
112,Luxembourg,LUX,Europe,EUR,1202,4835,6037,80.1,19.9,25196090,217.95,70.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
113,Madagascar,MDG,Africa,USD,15000,2500,17500,14.3,85.7,8675000,75.04,52.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
114,Malawi,MWI,Africa,USD,8500,9000,17500,51.4,48.6,29182500,252.43,64.6,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
115,Malaysia,MYS,Asia-Pacific,MYR,2750000,152370,2902370,5.2,94.8,1050000000,9082.5,66.7,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
116,Maldives,MDV,Asia-Pacific,USD,141,59725,59866,99.8,0.2,286686345,2479.84,83.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
117,Mali,MLI,Africa,USD,13,569,582,97.8,2.2,1821385,15.75,66.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
118,Malta,MLT,Europe,EUR,250,18000,18250,98.6,1.4,93611250,809.74,79.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
119,Marshall Island,MHL,Asia-Pacific,USD,2,4,6,66.7,33.3,19290,0.17,43.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
120,Mauritania,MRT,Africa,USD,0,150,150,100.0,0.0,480000,4.15,62.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
121,Mauritius,MUS,Africa,MUR,864911,26786,891697,3.0,97.0,150000000,1297.5,60.2,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
122,Micronesia,FSM,Asia-Pacific,USD,0,35,35,100.0,0.0,168000,1.45,58.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
123,Mexico,MEX,North America,USD,2000,8000,10000,80.0,20.0,38490000,332.94,71.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
124,Moldova,MDA,Europe,USD,9,1351,1360,99.3,0.7,7025605,60.77,70.7,Predominantly active NRI professional and employment community with high direct financial linkage to India.
125,Monaco,MCO,Europe,EUR,43,10,53,18.9,81.1,53935,0.47,35.5,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
126,Mongolia,MNG,Asia-Pacific,USD,9,93,102,91.2,8.8,446805,3.86,59.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
127,Montserrat,MSR,Latin America & Caribbean,USD,0,50,50,100.0,0.0,100000,0.86,57.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
128,Morocco,MAR,Africa,USD,101,1267,1368,92.6,7.4,4058945,35.11,67.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
129,Mozambique,MOZ,Africa,USD,22000,3000,25000,12.0,88.0,10590000,91.6,52.6,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
130,Myanmar,MMR,Asia-Pacific,USD,1997500,2500,2000000,0.1,99.9,101887500,881.33,59.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
131,Namibia,NAM,Africa,USD,0,65,65,100.0,0.0,208000,1.8,59.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
132,Nauru,NRU,Asia-Pacific,USD,0,20,20,100.0,0.0,96000,0.83,56.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
133,Nepal,NPL,Asia-Pacific,USD,0,700000,700000,100.0,0.0,3360000000,29064.0,92.0,Predominantly active NRI professional and employment community with high direct financial linkage to India.
134,Netherlands,NLD,Europe,EUR,178035,55965,234000,23.9,76.1,1050000000,9082.5,69.0,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
135,New Zealand,NZL,Asia-Pacific,NZD,143000,157000,300000,52.3,47.7,840000000,7266.0,75.8,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
136,Nicaragua,NIC,Latin America & Caribbean,USD,1,39,40,97.5,2.5,78045,0.68,55.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
137,Niger,NER,Africa,USD,10,240,250,96.0,4.0,768450,6.65,62.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
138,Nigeria,NGA,Africa,USD,120,50000,50120,99.8,0.2,160005400,1384.05,81.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
139,North Macedonia,MKD,Europe,USD,9,43,52,82.7,17.3,224005,1.94,54.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
140,Norway,NOR,Europe,USD,13516,11542,25058,46.1,53.9,310000000,2681.5,69.5,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
141,Oman,OMN,GCC & Middle East,OMR,2056,676781,678837,99.7,0.3,3100000000,26815.0,91.7,Major Gulf labor and trade corridor; 99% NRI workforce with exceptionally high remittance frequency for family maintenance and NRE bank deposits.
142,Pakistan,PAK,Asia-Pacific,USD,0,0,0,0.0,0.0,0,0.0,19.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
143,Palau,PLW,Asia-Pacific,USD,0,29,29,100.0,0.0,139200,1.2,57.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
144,Palestine,PSE,GCC & Middle East,USD,0,7,2,350.0,0.0,19600,0.17,114.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
145,Panama,PAN,Latin America & Caribbean,USD,11173,4000,15173,26.4,73.6,8502785,73.55,55.2,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
146,Papua New Guinea,PNG,Asia-Pacific,USD,0,4000,4000,100.0,0.0,19200000,166.08,74.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
147,Paraguay,PRY,Latin America & Caribbean,USD,200,400,600,66.7,33.3,809000,7.0,56.4,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
148,Peru,PER,Latin America & Caribbean,USD,175,325,500,65.0,35.0,657875,5.69,55.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
149,Philippines,PHL,Asia-Pacific,USD,2570,67430,70000,96.3,3.7,323779650,2800.69,83.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
150,Poland,POL,Europe,USD,1300,30000,31300,95.8,4.2,300000000,2595.0,82.0,"Emerging European workforce destination in logistics, construction, and hospitality sectors with fast-growing NRI registrations."
151,Portugal,PRT,Europe,EUR,78000,98616,176616,55.8,44.2,516313200,4466.11,75.0,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
152,Qatar,QAT,GCC & Middle East,QAR,0,830491,830491,100.0,0.0,4600000000,39790.0,92.9,Major Gulf labor and trade corridor; 99% NRI workforce with exceptionally high remittance frequency for family maintenance and NRE bank deposits.
153,Romania,ROU,Europe,USD,362,13099,13461,97.3,2.7,68131090,589.33,77.9,"Emerging European workforce destination in logistics, construction, and hospitality sectors with fast-growing NRI registrations."
154,Russia,RUS,Europe,USD,6,2600,2606,99.8,0.2,13520270,116.95,73.0,"Rapidly expanding higher education and medical student hub, accompanied by emerging trade and technical services."
155,Rwanda,RWA,Africa,USD,10,3050,3056,99.8,0.3,9760450,84.43,72.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
156,Saint Kitts & Nevis,KNA,Latin America & Caribbean,USD,100,500,600,83.3,16.7,1004500,8.69,61.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
157,Saint Lusia,LCA,Latin America & Caribbean,USD,4100,450,4550,9.9,90.1,1084500,9.38,44.8,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
158,Saint Vincent & Grenadines,VCT,Latin America & Caribbean,USD,6500,70,6570,1.1,98.9,432500,3.74,40.7,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
159,Samoa,WSM,Asia-Pacific,USD,50,0,50,0.0,100.0,2250,0.02,22.8,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
160,San Marino,SMR,Europe,EUR,0,1,1,100.0,0.0,5200,0.04,48.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
161,Sao Tome,STP,Africa,USD,0,38,38,100.0,0.0,121600,1.05,57.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
162,Saudi Arabia,SAU,GCC & Middle East,SAR,3000,2747551,2750551,99.9,0.1,7600000000,65740.0,95.2,Major Gulf labor and trade corridor; 99% NRI workforce with exceptionally high remittance frequency for family maintenance and NRE bank deposits.
163,"Senegal, Gambia and Guinea-Bissau",SEN,Africa,USD,40,4500,4540,99.1,0.9,14401800,124.58,73.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
164,Serbia,SRB,Europe,USD,37,6658,6658,100.0,0.6,34623265,299.49,76.3,"Emerging European workforce destination in logistics, construction, and hospitality sectors with fast-growing NRI registrations."
165,Seychelles,SYC,Africa,USD,5115,8235,13303,61.9,38.4,26582175,229.94,66.7,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
166,Sierra Leone,SLE,Africa,USD,19,4500,4519,99.6,0.4,14400855,124.57,73.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
167,Singapore,SGP,Asia-Pacific,SGD,23199,450000,483199,93.1,4.8,7650000000,66172.5,91.9,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
168,Sint Maarten,SXM,Latin America & Caribbean,USD,3168,2170,5338,40.7,59.3,4482560,38.77,56.2,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
169,Slovak Republic,SVK,Europe,EUR,94,10000,10094,99.1,0.9,52004230,449.84,77.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
170,Slovenia,SVN,Europe,EUR,88,2903,2991,97.1,2.9,15099560,130.61,72.7,Predominantly active NRI professional and employment community with high direct financial linkage to India.
